"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","327","Вход под существующим пользователем","tests","2025-11-20","passed","2025-11-20","TestLogin","test_login","",""
"","235","Создание заказа с неверным хешем ингредиентов","tests","2025-11-20","passed","2025-11-20","TestCreateOrder","test_orders","",""
"","361","Вход с неверным логином или паролем","tests","2025-11-20","passed","2025-11-20","TestLogin","test_login","",""
"","228","Регистрация незаполненным обязательным полем","tests","2025-11-20","passed","2025-11-20","TestRegistration","test_registration","",""
"","259","Регистрация существующего пользователя","tests","2025-11-20","passed","2025-11-20","TestRegistration","test_registration","",""
"","238","Создание заказа без ингредиентов","tests","2025-11-20","passed","2025-11-20","TestCreateOrder","test_orders","",""
"","3332","Создание заказа с авторизацией и ингредиентами","tests","2025-11-20","passed","2025-11-20","TestCreateOrder","test_orders","",""
"","224","Создание заказа с ингредиентами без авторизации","tests","2025-11-20","failed","2025-11-20","TestCreateOrder","test_orders","",""
"","456","Вход с неверным логином или паролем","tests","2025-11-20","passed","2025-11-20","TestLogin","test_login","",""
"","248","Создание заказа с неверным токеном","tests","2025-11-20","passed","2025-11-20","TestCreateOrder","test_orders","",""
"","237","Регистрация незаполненным обязательным полем","tests","2025-11-20","passed","2025-11-20","TestRegistration","test_registration","",""
"","245","Регистрация уникального пользователя","tests","2025-11-20","passed","2025-11-20","TestRegistration","test_registration","",""
"","237","Регистрация незаполненным обязательным полем","tests","2025-11-20","passed","2025-11-20","TestRegistration","test_registration","",""
